client_send_time,sniff_time,export_time,latency_client_sniff,cpu_percent,memory_percent
2022-09-14 16:34:30.391117,2022-09-14 16:34:30.392866,2022-09-14 16:34:30.896515,0:00:00.505335,0.5,11.5
2022-09-14 16:34:30.392571,2022-09-14 16:34:30.394536,2022-09-14 16:34:30.926494,0:00:00.533865,12.5,11.5
2022-09-14 16:34:30.394106,2022-09-14 16:34:30.395975,2022-09-14 16:34:30.949344,0:00:00.555181,26.7,11.5
2022-09-14 16:34:30.395646,2022-09-14 16:34:30.397253,2022-09-14 16:34:30.981181,0:00:00.585477,15.8,11.6
2022-09-14 16:34:30.396896,2022-09-14 16:34:30.398757,2022-09-14 16:34:31.017924,0:00:00.620953,19.0,11.6
2022-09-14 16:34:30.398034,2022-09-14 16:34:30.399685,2022-09-14 16:34:31.040978,0:00:00.642876,21.4,11.6
2022-09-14 16:34:30.399293,2022-09-14 16:34:30.401103,2022-09-14 16:34:31.071612,0:00:00.672262,16.7,11.6
2022-09-14 16:34:30.400528,2022-09-14 16:34:30.402446,2022-09-14 16:34:31.107269,0:00:00.706682,18.2,11.6
2022-09-14 16:34:30.401924,2022-09-14 16:34:30.403351,2022-09-14 16:34:31.132535,0:00:00.730556,20.0,11.6
2022-09-14 16:34:30.402914,2022-09-14 16:34:30.404654,2022-09-14 16:34:31.161780,0:00:00.758813,17.6,11.6
2022-09-14 16:34:30.597013,2022-09-14 16:34:30.598567,2022-09-14 16:34:31.169768,0:00:00.572700,33.3,11.6
2022-09-14 16:34:30.596828,2022-09-14 16:34:30.604054,2022-09-14 16:34:31.177838,0:00:00.580960,33.3,11.6
2022-09-14 16:34:30.602783,2022-09-14 16:34:30.609484,2022-09-14 16:34:31.185829,0:00:00.582996,20.0,11.6
2022-09-14 16:34:30.602394,2022-09-14 16:34:30.609599,2022-09-14 16:34:31.193766,0:00:00.591322,25.0,11.6
2022-09-14 16:34:30.608835,2022-09-14 16:34:30.610284,2022-09-14 16:34:31.201742,0:00:00.592857,33.3,11.5
2022-09-14 16:34:30.602543,2022-09-14 16:34:30.615610,2022-09-14 16:34:31.389050,0:00:00.786443,1.8,11.5
2022-09-14 16:34:30.608446,2022-09-14 16:34:30.615718,2022-09-14 16:34:31.397810,0:00:00.789309,33.3,11.5
2022-09-14 16:34:30.608618,2022-09-14 16:34:30.625994,2022-09-14 16:34:31.405647,0:00:00.796975,25.0,11.5
2022-09-14 16:34:30.614777,2022-09-14 16:34:30.626141,2022-09-14 16:34:31.413393,0:00:00.798565,33.3,11.5
2022-09-14 16:34:30.614610,2022-09-14 16:34:30.631354,2022-09-14 16:34:31.421565,0:00:00.806904,33.3,11.5
2022-09-14 16:34:30.802484,2022-09-14 16:34:30.809591,2022-09-14 16:34:31.429144,0:00:00.626611,40.0,11.5
2022-09-14 16:34:30.807842,2022-09-14 16:34:30.814993,2022-09-14 16:34:31.436737,0:00:00.628847,20.0,11.5
2022-09-14 16:34:30.813296,2022-09-14 16:34:30.820643,2022-09-14 16:34:31.444365,0:00:00.631020,20.0,11.5
2022-09-14 16:34:30.819042,2022-09-14 16:34:30.820643,2022-09-14 16:34:31.450141,0:00:00.631050,0.0,11.5
2022-09-14 16:34:30.818866,2022-09-14 16:34:30.820808,2022-09-14 16:34:31.459717,0:00:00.640802,28.6,11.5
2022-09-14 16:34:30.813480,2022-09-14 16:34:30.831028,2022-09-14 16:34:31.467321,0:00:00.653792,0.0,11.5
2022-09-14 16:34:30.834753,2022-09-14 16:34:30.836385,2022-09-14 16:34:31.475118,0:00:00.640316,20.0,11.5
2022-09-14 16:34:30.840147,2022-09-14 16:34:30.841968,2022-09-14 16:34:31.482738,0:00:00.642529,20.0,11.5
2022-09-14 16:34:30.840720,2022-09-14 16:34:30.842220,2022-09-14 16:34:31.490375,0:00:00.649607,0.0,11.5
2022-09-14 16:34:30.840330,2022-09-14 16:34:30.842356,2022-09-14 16:34:31.497915,0:00:00.657530,33.3,11.5
2022-09-14 16:34:31.013282,2022-09-14 16:34:31.014838,2022-09-14 16:34:31.540326,0:00:00.526992,23.1,11.5
2022-09-14 16:34:31.013784,2022-09-14 16:34:31.015239,2022-09-14 16:34:31.548090,0:00:00.534256,0.0,11.5
2022-09-14 16:34:31.013127,2022-09-14 16:34:31.020516,2022-09-14 16:34:31.559992,0:00:00.546814,25.0,11.5
2022-09-14 16:34:31.040620,2022-09-14 16:34:31.042061,2022-09-14 16:34:31.577680,0:00:00.537009,20.0,11.5
2022-09-14 16:34:31.040220,2022-09-14 16:34:31.042124,2022-09-14 16:34:31.585288,0:00:00.545018,20.0,11.5
2022-09-14 16:34:31.040880,2022-09-14 16:34:31.047405,2022-09-14 16:34:31.592919,0:00:00.551982,20.0,11.5
2022-09-14 16:34:31.040377,2022-09-14 16:34:31.057819,2022-09-14 16:34:31.602576,0:00:00.562151,20.0,11.5
2022-09-14 16:34:31.061811,2022-09-14 16:34:31.063426,2022-09-14 16:34:31.610228,0:00:00.548369,20.0,11.5
2022-09-14 16:34:31.056462,2022-09-14 16:34:31.078842,2022-09-14 16:34:31.629774,0:00:00.573262,25.0,11.5
2022-09-14 16:34:31.046216,2022-09-14 16:34:31.078842,2022-09-14 16:34:31.635437,0:00:00.589171,40.0,11.5
2022-09-14 16:34:31.218918,2022-09-14 16:34:31.220541,2022-09-14 16:34:31.959588,0:00:00.740605,2.6,11.5
2022-09-14 16:34:31.218780,2022-09-14 16:34:31.220541,2022-09-14 16:34:31.965355,0:00:00.746520,33.3,11.5
2022-09-14 16:34:31.219236,2022-09-14 16:34:31.231034,2022-09-14 16:34:31.974960,0:00:00.755674,16.7,11.5
2022-09-14 16:34:31.245843,2022-09-14 16:34:31.252423,2022-09-14 16:34:31.984580,0:00:00.738687,20.0,11.5
